tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
2 days 00:41:00,2020-11-01 10:17:47.575,2020-11-01 10:35:04.363,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,42308,Subscriber,1966,Male
0 days 11:19:00,2020-11-01 10:18:34.058,2020-11-01 10:37:54.502,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3199,Newport Pkwy,40.7287448,-74.0321082,42141,Customer,1977,Female
1 days 17:34:00,2020-11-01 10:20:38.983,2020-11-01 10:26:52.039,3185,City Hall,40.7177325,-74.043845,3268,Lafayette Park,40.71346382669195,-74.06285852193832,41696,Subscriber,1982,Male
0 days 12:05:00,2020-11-01 10:23:19.635,2020-11-01 10:43:42.291,3280,Astor Place,40.71928220070702,-74.07126188278198,3199,Newport Pkwy,40.7287448,-74.0321082,42285,Subscriber,1993,Male
0 days 11:05:00,2020-11-01 10:25:39.213,2020-11-01 10:43:49.400,3280,Astor Place,40.71928220070702,-74.07126188278198,3199,Newport Pkwy,40.7287448,-74.0321082,43499,Customer,1969,Unknown
0 days 07:10:00,2020-11-01 10:25:49.665,2020-11-01 10:59:21.434,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,45352,Subscriber,1991,Male
0 days 01:40:00,2020-11-01 10:26:07.503,2020-11-01 10:41:05.021,3210,Pershing Field,40.742677141,-74.051788633,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42435,Subscriber,1995,Male
0 days 05:53:00,2020-11-01 10:26:17.281,2020-11-01 10:28:31.824,3209,Brunswick St,40.7241765,-74.0506564,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,44239,Subscriber,1991,Female
0 days 14:03:00,2020-11-01 10:27:12.346,2020-11-01 10:36:23.047,3192,Liberty Light Rail,40.7112423,-74.0557013,3213,Van Vorst Park,40.71848892,-74.047726625,42314,Customer,1969,Unknown
0 days 07:07:00,2020-11-01 10:27:18.277,2020-11-01 10:36:25.427,3192,Liberty Light Rail,40.7112423,-74.0557013,3213,Van Vorst Park,40.71848892,-74.047726625,42580,Customer,1969,Unknown
0 days 12:13:00,2020-11-01 10:29:07.577,2020-11-01 10:59:08.302,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3279,Dixon Mills,40.721630142638354,-74.04996782541275,42634,Subscriber,1986,Female
0 days 03:06:00,2020-11-01 10:29:26.392,2020-11-01 10:35:33.599,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3209,Brunswick St,40.7241765,-74.0506564,43572,Subscriber,1987,Male
0 days 15:58:00,2020-11-01 10:29:39.452,2020-11-01 10:48:54.308,3267,Morris Canal,40.7124188237569,-74.03852552175522,3267,Morris Canal,40.7124188237569,-74.03852552175522,42591,Subscriber,1956,Male
0 days 05:56:00,2020-11-01 10:30:24.328,2020-11-01 10:44:55.391,3185,City Hall,40.7177325,-74.043845,3280,Astor Place,40.71928220070702,-74.07126188278198,45150,Subscriber,1977,Male
0 days 14:47:00,2020-11-01 10:31:46.606,2020-11-01 10:50:02.625,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3267,Morris Canal,40.7124188237569,-74.03852552175522,44392,Subscriber,1982,Female
0 days 14:24:00,2020-11-01 10:32:04.275,2020-11-01 10:37:43.727,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3483,Montgomery St,40.71942,-74.05099,42528,Subscriber,1964,Female
0 days 14:19:00,2020-11-01 10:32:37.083,2020-11-01 10:51:19.888,3195,Sip Ave,40.73089709786179,-74.06391263008118,3198,Heights Elevator,40.74871594538023,-74.04044330120087,35358,Subscriber,1991,Male
0 days 05:43:00,2020-11-01 10:33:26.222,2020-11-01 13:06:08.395,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,27485,Customer,1995,Female
0 days 09:40:00,2020-11-01 10:35:23.359,2020-11-01 11:01:06.251,3185,City Hall,40.7177325,-74.043845,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,42133,Subscriber,1962,Male
0 days 05:19:00,2020-11-01 10:36:03.392,2020-11-01 10:39:18.861,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,3209,Brunswick St,40.7241765,-74.0506564,44418,Subscriber,1991,Female
0 days 11:14:00,2020-11-01 10:37:05.816,2020-11-01 11:11:46.357,3694,Jackson Square,40.71113,-74.0789,3205,JC Medical Center,40.71653978099194,-74.0496379137039,31659,Subscriber,1992,Male
0 days 06:49:00,2020-11-01 10:37:10.978,2020-11-01 10:39:03.112,3211,Newark Ave,40.72152515,-74.046304543,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,41002,Subscriber,1971,Male
0 days 03:28:00,2020-11-01 10:38:08.645,2020-11-01 10:46:27.235,3199,Newport Pkwy,40.7287448,-74.0321082,3273,Manila & 1st,40.72165072487999,-74.04288411140442,33652,Subscriber,1996,Male
0 days 11:54:00,2020-11-01 10:38:58.897,2020-11-01 10:52:52.042,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,3195,Sip Ave,40.73089709786179,-74.06391263008118,46536,Subscriber,1980,Male
